0,1,2,high_level_substr
2.765978,-3.3359356,2.1060388,-
-10.213823,4.6587768,-2.1802206,mono/di/trisaccharide
2.7548976,-3.5316355,2.2654152,-
-5.740745,-2.2279425,-7.8982067,galactan
4.785237,-2.3583434,7.885188,capsule polysaccharide
0.5275756,13.651371,-2.0778146,beta-glucan 
1.7175777,-3.8605747,-2.250202,beta-glucan 
-9.101541,-0.42208564,-7.1209636,alpha-glucan
0.055254787,12.514265,1.0753226,xylan
2.5539136,2.824742,-1.7204096,xylan
-0.48431644,-5.6912503,0.09798091,pectin
-10.843822,2.066105,-2.5157695,mono/di/trisaccharide
0.31412637,3.3794146,0.7014681,multiple_substrates
-1.292264,3.646472,-1.5719612,multiple_substrates
2.140979,-0.10652431,0.4217151,multiple_substrates
0.25320134,-0.8575108,-0.522967,multiple_substrates
-1.8725712,0.7411051,-1.8950158,multiple_substrates
-1.5434413,0.20732147,-1.877387,multiple_substrates
-0.35174888,-0.92876136,-0.8549164,multiple_substrates
-0.8314504,4.121773,-0.6558731,multiple_substrates
1.8112783,-8.27376,0.91133916,multiple_substrates
-4.4359126,-4.3682117,-4.694024,multiple_substrates
2.8022401,3.0448186,1.8563896,xylan
-4.90233,-5.339771,-4.5547023,multiple_substrates
-2.689707,-1.9027901,0.66432065,chitin
1.0539544,4.260673,0.12802711,xylan
0.0030599309,9.004575,-0.7643006,xylan
-0.8317993,-2.635172,-2.244972,-
0.6660083,10.995796,5.297131,mono/di/trisaccharide
-4.652783,3.2853894,-1.2597147,mono/di/trisaccharide
6.44008,-8.297611,7.256106,capsule polysaccharide
-2.456999,-8.854238,-8.258248,mono/di/trisaccharide
4.847329,-4.541567,-2.7891972,multiple_substrates
4.7093496,-1.3481351,-3.1177585,multiple_substrates
1.8360023,7.5546765,-0.27681205,multiple_substrates
2.406878,8.05668,-2.406609,multiple_substrates
3.4772563,-5.0237174,-3.5903535,multiple_substrates
-2.68784,-1.8159809,3.5144684,multiple_substrates
3.911017,7.9442115,2.455813,multiple_substrates
1.6421888,6.876885,3.4581258,multiple_substrates
2.4433053,14.196777,2.3585997,multiple_substrates
-6.9266305,1.8074322,-7.693766,multiple_substrates
-2.7150867,-10.263125,-8.177237,mono/di/trisaccharide
0.663421,-8.930081,-1.3193476,pectin
-3.0392306,10.117899,-0.1769544,xylan
-0.629957,-2.653287,-5.9283886,alpha-glucan
-1.9972162,-7.766015,3.939563,multiple_substrates
-6.5549088,1.8267976,-8.557927,galactan
-6.0100565,-2.9776208,-3.2537742,human milk oligosaccharide
-2.3824747,-7.477946,3.1778092,multiple_substrates
-6.8510423,7.1865954,-3.771934,mono/di/trisaccharide
-8.046173,1.3624502,-8.065207,alpha-glucan
-6.8510423,7.1865954,-3.771934,mono/di/trisaccharide
-3.3318021,-8.95088,-4.1722703,mono/di/trisaccharide
-2.6052513,-9.393856,-7.6987743,mono/di/trisaccharide
0.8202404,6.390636,3.0885217,alpha-mannan
3.1589673,8.866173,-3.3351858,multiple_substrates
-3.2486348,-3.3480053,0.8957696,glycosaminoglycan
0.4862416,8.367622,4.0013204,alpha-mannan
0.042394474,14.754697,1.9213139,alpha-mannan
4.824387,-1.0912116,-3.1233857,multiple_substrates
-11.192463,3.2237046,-1.0578066,chitin
2.8128624,-3.9506726,-2.7667906,multiple_substrates
4.9138484,-4.702837,-2.803619,multiple_substrates
-2.4147556,-3.2761202,0.8155118,glycosaminoglycan
4.5384603,4.209095,2.7709794,cellulose
5.1623983,5.017646,0.9807821,hemicellulose
-0.25088432,-10.551662,2.3266819,glycosaminoglycan
5.933335,-9.066878,6.606802,O-antigen
10.626813,-8.852153,7.4410567,O-antigen
-7.3669024,-0.7227915,-6.218197,xylan
2.762999,-3.3261085,2.0961957,multiple_substrates
-2.9671788,0.021926958,-0.3188106,xylan
-1.7683392,1.8742561,2.2356117,galactan
-4.0824323,-8.4599695,-4.9697156,multiple_substrates
-5.0834875,0.35317492,-5.6236506,multiple_substrates
-0.61803466,-8.59063,3.5000434,glycosaminoglycan
4.9225664,16.879354,1.1717563,glycosaminoglycan
1.0610567,15.749044,3.0441203,glycosaminoglycan
-0.78835624,-8.120241,-8.811205,galactan
-1.6057605,-9.494687,0.08084392,algal glycans
-0.99302155,-1.8740495,-6.188027,algal glycans
-1.0546329,2.9751732,-3.8830173,multiple_substrates
-0.41573903,-2.4083812,-6.059079,algal glycans
-0.47813886,-5.7265034,0.43645668,pectin
-0.68316317,-10.277773,-0.42929968,pectin
-2.5725605,-2.4567745,-5.689299,beta-glucan 
-9.1191845,5.278706,-2.9067097,mono/di/trisaccharide
-3.1584384,9.949722,0.40976202,beta-mannan
-8.301398,-0.44265077,-4.798361,-
-4.8855658,2.335565,-0.6245911,mono/di/trisaccharide
-1.864096,12.342365,2.0074492,xylan
-3.8666053,10.096316,-0.67958146,pectin
-8.3509445,0.11981577,-5.8211875,mono/di/trisaccharide
-4.5225873,-2.2311482,-3.7365444,xylan
2.2345798,14.286054,3.1710067,multiple_substrates
-4.4197288,-2.9803102,4.434613,plant polysaccharide
-4.465268,-3.0362616,4.4438033,plant polysaccharide
